timestamp,a,b,c,d
0.0,0.4171215750477749,0.5519111009010766,0.4800573673513938,0.41810841630208506
0.0625,0.4434523744726657,0.5867504891454571,0.5103609886654505,0.4445015100811542
0.125,0.47144530561125275,0.6237891137727641,0.5425775260749571,0.47256066790502704
0.1875,0.501205290527963,0.6631658015796699,0.5768277324084388,0.5023910600665319
0.25,0.5328438744925407,0.7050281428043865,0.6132399830167214,0.5341044957332317
0.3125,0.5664796440698823,0.7495330443189134,0.651950756944652,0.567819842026392
0.375,0.6022386716017936,0.7968473177415448,0.6931051484767832,0.603663469554308
0.4375,0.6402549877466568,0.8471483046739798,0.7368574109743801,0.6417697260699238
0.5,0.6806710838481645,0.9006245414065248,0.7833715350421379,0.6822814400280877
0.5625,0.72363844601608,0.9574764655828117,0.8328218631916728,0.7253504559298607
0.625,0.769318122920845,1.0179171674727268,0.8853937433056471,0.7711382034604332
0.6875,0.8178813294302234,1.0821731886694426,0.9412842233518162,0.8198163025538729
0.75,0.8695100883505062,1.1504853712042011,1.0007027899508996,0.8715672066525861
0.8125,0.9243979126776319,1.2231097602614662,1.06387215356655,0.9265848865725307
0.875,0.9827505309154074,1.3003185638779713,1.1310290832604386,0.9850755575374217
0.9375,1.0447866581794425,1.3824011732227683,1.2024252941412539,1.0472584521069714
1.0,1.1107388159770197,1.4696652472824556,1.2783283908339205,1.113366641896224
